timestamp,dl_rssi,dl_snr,ul_rssi,ul_snr,rssi_mean,snr_mean,rssi_diff,snr_diff,periodo,temp_c,dewpoint_c,precip_mm,press_hpa,wind_ms,rain_flag,rain_class
2026-03-19 01:00:00,-75.41666666666667,21.416666666666668,-76.0,22.333333333333332,-75.70833333333333,21.875,0.5833333333333334,-0.9166666666666666,humedo,8.47403,6.4404907,0.16120821,692.3837,1.056016,1,lluvia_ligera
2026-03-19 02:00:00,-75.27272727272727,21.545454545454547,-75.27272727272727,22.90909090909091,-75.27272727272727,22.227272727272727,0.0,-1.3636363636363635,humedo,7.6404724,6.2750244,0.16275793,691.9931,1.1962403,1,lluvia_ligera
2026-03-19 03:00:00,-74.75,21.916666666666668,-75.41666666666667,22.583333333333332,-75.08333333333333,22.25,0.6666666666666666,-0.6666666666666666,humedo,7.308014,5.807251,0.16275793,691.1994,1.1864926,1,lluvia_ligera
2026-03-19 04:00:00,-75.25,21.583333333333332,-75.66666666666667,22.5,-75.45833333333333,22.041666666666668,0.4166666666666667,-0.9166666666666666,humedo,6.8905945,5.253784,0.16275793,691.0681,1.1889026,1,lluvia_ligera
2026-03-19 05:00:00,-75.63636363636364,21.545454545454547,-75.9090909090909,22.454545454545453,-75.77272727272727,22.0,0.2727272727272727,-0.9090909090909091,humedo,6.6524353,4.741333,0.16276538,691.0556,1.2158134,1,lluvia_ligera
2026-03-19 06:00:00,-75.08333333333333,21.583333333333332,-75.83333333333333,22.333333333333332,-75.45833333333333,21.958333333333332,0.75,-0.75,humedo,6.484955,4.3110046,0.16276538,691.37,1.2720357,1,lluvia_ligera
2026-03-19 07:00:00,-74.83333333333333,21.583333333333332,-76.08333333333333,22.083333333333332,-75.45833333333333,21.833333333333332,1.25,-0.5,humedo,7.0185547,4.74411,0.16276538,691.8137,1.1638793,1,lluvia_ligera
2026-03-19 08:00:00,-75.66666666666667,21.583333333333332,-76.25,22.25,-75.95833333333333,21.916666666666668,0.5833333333333334,-0.6666666666666666,humedo,9.020233,4.997711,0.16276538,692.3787,1.1668922,1,lluvia_ligera
2026-03-19 09:00:00,-75.72727272727273,21.0,-76.0,22.0,-75.86363636363636,21.5,0.2727272727272727,-1.0,humedo,11.1857605,4.837555,0.16276538,692.8744,1.3721989,1,lluvia_ligera
2026-03-19 10:00:00,-75.75,20.833333333333332,-75.75,22.25,-75.75,21.541666666666668,0.0,-1.4166666666666667,humedo,12.802704,5.1402283,0.16278028,693.10315,1.4231602,1,lluvia_ligera
